type,name,latitude_deg,longitude_deg,Image_URL
large_airport,Suvarnabhumi Airport,13.68109989,100.7470016,https://blog.airpaz.com/wp-content/uploads/Suvarnabhumi-Airport-Feature-Image-2-1.png
large_airport,Don Mueang International Airport,13.91259956,100.6070023,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrl9TYQobvrdVm3CFT5SHlcjpvgpnU-a60eg&s
large_airport,Phuket International Airport,8.1132,98.316902,https://www.theprivateworld.com/wp-content/uploads/2017/07/Phuket-International-Airport-2.jpeg
large_airport,Chiang Mai International Airport,18.76679993,98.96260071,https://apis.airportthai.co.th/microsite/images/post/thumbnail/post_94_20210708120309.jpg
medium_airport,Samui Airport,9.54779,100.061996,"https://nb-img.imgix.net/images-usm/samuiairport2.jpg?auto=compress,enhance,format"
medium_airport,Krabi Airport,8.09912014,98.98619843,https://static.bangkokpost.com/media/content/dcx/2022/05/07/4300262.jpg
medium_airport,Hat Yai International Airport,6.933209896,100.3929977,https://sailingclick.com/wp-content/uploads/featureaiport_thailand-27-952x480-1.jpeg
medium_airport,U-Tapao International Airport,12.67990017,101.0049973,https://www.one-works.com/wp-content/uploads/one-works-transportation-u-tapao-international.-airport-7-1920x1129.webp
medium_airport,Udon Thani Airport,17.38640022,102.788002,
medium_airport,Mae Fah Luang - Chiang Rai International Airport,19.952299,99.882896,
medium_airport,Surat Thani Airport,9.132599831,99.13559723,
medium_airport,Mae Hong Son Airport,19.3013,97.9758,
medium_airport,Phitsanulok Airport,16.7829,100.278999,
medium_airport,Chumphon Airport,10.7112,99.361702,
medium_airport,Trat Airport,12.2746,102.319,
medium_airport,Mae Sot Airport,16.69989967,98.54509735,
medium_airport,Sukhothai Airport,17.23800087,99.81819916,
medium_airport,Hua Hin Airport,12.63619995,99.95149994,
medium_airport,Khon Kaen Airport,16.46660042,102.7839966,
medium_airport,Ubon Ratchathani Airport,15.25129986,104.8700027,
small_airport,Bang Phra Airport,13.232426,100.956802,
medium_airport,Nakhon Phanom Airport,17.383801,104.642998,
medium_airport,Trang Airport,7.50874,99.6166,
small_airport,Khorat Airport,14.9345,102.079002,
small_airport,Pai Airport,19.372054,98.435904,
medium_airport,Nan Airport,18.80789948,100.7829971,
medium_airport,Nakhon Ratchasima Airport,14.9495,102.313004,
medium_airport,Takhli Airport,15.27729988,100.2959976,
small_airport,Eastern Flying Club Airport,12.902439,100.933227,
small_airport,Photharam Airport,13.66860008,99.73139954,
small_airport,Phuket Airpark,8.018733,98.40291,
medium_airport,Lampang Airport,18.27090073,99.5042038,
medium_airport,Narathiwat Airport,6.519919872,101.7429962,
medium_airport,Sakon Nakhon Airport,17.19510078,104.1190033,
medium_airport,Loei Airport,17.43910027,101.7220001,
medium_airport,Nakhon Si Thammarat Airport,8.539620399,99.94470215,
medium_airport,Ranong Airport,9.77762,98.585503,
medium_airport,Roi Et Airport,16.1168,103.774002,
medium_airport,Phetchabun Airport,16.6760006,101.1949997,
medium_airport,Tak Airport,16.896,99.253304,
medium_airport,Khok Kathiam Airport,14.8746,100.663002,
small_airport,Vanchanphen Airpark,13.94495,102.00432,
small_airport,Nok Airfield,18.6762,99.11157,
small_airport,Klong 15 Airfield,14.114705,100.949485,
small_airport,Thung Si Kan Airport,13.94571,100.57441,
small_airport,Khanong Phra Airport,14.63123,101.4659,
small_airport,Dropzone Thailand Airport,12.6714,101.5476,
small_airport,Ko Chan Airport,13.3938,101.32055,
small_airport,Koh Mai Si Airport,11.71678,102.51975,
small_airport,Mae Sariang Airport,18.180962,97.930627,
small_airport,Tantawan,14.7712,100.776,
small_airport,Prachuap Khiri Khan Airport,12.41720009,99.86940002,
small_airport,Bird's Paradise Airpark,17.522045,103.551192,
small_airport,Best Ocean Airpark,13.54018,100.32936,
small_airport,Chiang Mai Airsports,18.70403,99.11917,
small_airport,Nong Khor Airfield,13.14027,101.04642,
small_airport,Banana,13.14421,101.106062,
medium_airport,Buri Ram Airport,15.2295,103.252998,
medium_airport,Cha Eian Airport,8.471150398,99.95559692,
medium_airport,Surin Airport,14.86830044,103.4980011,
medium_airport,Phrae Airport,18.1322,100.165001,
medium_airport,Pattani Airport,6.78546,101.153999,
medium_airport,Songkhla Airport,7.186560154,100.6080017,
medium_airport,Betong International Airport,5.79,101.15,
medium_airport,Kamphaeng Saen Airport,14.10200024,99.91719818,
small_airport,Lamphun Airport,18.546816,99.012029,
small_airport,Prachuap Airport,11.7883997,99.80470276,
small_airport,Sak Long Airport,16.824301,101.250999,
small_airport,Nakhon Sawan Airport,15.673,100.137001,
small_airport,Khunan Phumipol Airport,17.23419952,99.05789948,
small_airport,Khoun Khan Airport,6.661399841,100.0800018,
small_airport,Rob Muang Airport,16.07040024,103.6460037,
small_airport,Sa Pran Nak Airport,14.94939995,100.6429977,
small_airport,Dok Rai,12.920684,101.183631,
small_airport,Atlantic,12.85511,100.990908,
small_airport,Saensuk Flying Club,13.289235,100.963154,
small_airport,Lanna Airfield,18.67614,99.10522,
small_airport,Udorn Air Base,17.38299942,102.8000031,
small_airport,Bang Phra Ultralightport,13.236033,100.994902,
small_airport,Supawan Mini Airfield,13.85782,100.32493,
small_airport,Old Betong Airport,5.78161,101.159256,
small_airport,Kabin Buri Airport,14.01966,101.70217,
small_airport,Lat Ya Army Airfield,14.125242,99.446955,
small_airport,River Kwai Airfield,14.06445,99.36168,
small_airport,Chanthaburi Airstrip,12.63247,102.02603,
small_airport,Lektop-Thames Airport,14.03662,100.69448,
small_airport,Khlong Si Airfield,14.170617,100.691757,
small_airport,Nam Phung Dam Airport,16.6522007,102.9670029,
small_airport,Klaeng Airfield,12.709905,101.630542,
small_airport,Storm Airport,13.99575,100.36536,
small_airport,Seri Thai Airport,16.77324,104.03372,
small_airport,TFT Airfield,14.08045,100.852589,
small_airport,Lektop-Thames Airport Number 2,14.11717,100.76169,
small_airport,Ongkarak Airport (Klong 16),14.10993,101.00166,
small_airport,Pattaya Huai Yai Airport,12.8351,100.98118,
small_airport,Phanom Sarakham Airport,13.7553,101.395,
small_airport,Phayao Ban Chiang Kham Airport,19.5,100.2829971,
small_airport,Khao E To Airport,14.0778,101.379997,
small_airport,Prachom Klao Airfield,14.163603,101.337118,
small_airport,Camp Burachat (Sanam Luang) Airfield,13.57376,99.75296,
small_airport,Ratthaphum Airfield,7.1349,100.33063,
small_airport,Hinzon Airport,13.77697,101.61345,
small_airport,Kaeng Krachan Airfield,12.87173,99.79265,
small_airport,Uttaradit Airport,17.61700058,100.0999985,
small_airport,Watthana Nakhon Airport,13.769203,102.316017,
